 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國104年底 ,,,,,,,,,,,,,, 中華民國104年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
 南 投 縣 , 男 ," 261,379 "," 1,707 "," 7,309 "," 1,858 "," 1,653 "," 2,044 "," 1,754 "," 9,659 "," 12,994 "," 17,130 "," 19,304 "," 18,649 "," 20,116 "," 19,809 "," 17,515 "," 20,578 "," 21,982 "," 20,624 "," 17,722 "," 11,253 "," 8,391 "," 7,563 "," 5,187 "," 2,851 ", 872 , 143 , 21 
, 女 ," 248,111 "," 1,626 "," 6,758 "," 1,676 "," 1,563 "," 1,864 "," 1,655 "," 8,894 "," 12,018 "," 16,026 "," 17,739 "," 16,493 "," 17,994 "," 18,196 "," 16,618 "," 18,593 "," 20,246 "," 19,058 "," 16,624 "," 11,327 "," 9,152 "," 8,897 "," 6,491 "," 3,784 "," 1,270 ", 276 , 31 
, 計 ," 699,633 "," 4,649 "," 20,776 "," 5,181 "," 4,768 "," 5,884 "," 4,943 "," 26,859 "," 35,600 "," 45,038 "," 45,373 "," 44,615 "," 53,151 "," 56,885 "," 49,802 "," 52,871 "," 54,477 "," 49,455 "," 44,868 "," 31,673 "," 26,546 "," 25,671 "," 18,100 "," 9,561 "," 3,042 ", 555 , 66 
 雲 林 縣 , 男 ," 363,832 "," 2,418 "," 10,772 "," 2,681 "," 2,464 "," 3,083 "," 2,544 "," 14,195 "," 18,697 "," 23,800 "," 23,544 "," 23,600 "," 27,481 "," 29,510 "," 26,552 "," 29,818 "," 30,640 "," 26,974 "," 23,703 "," 15,936 "," 12,562 "," 11,497 "," 7,413 "," 3,602 ", 966 , 134 , 18 
, 女 ," 335,801 "," 2,231 "," 10,004 "," 2,500 "," 2,304 "," 2,801 "," 2,399 "," 12,664 "," 16,903 "," 21,238 "," 21,829 "," 21,015 "," 25,670 "," 27,375 "," 23,250 "," 23,053 "," 23,837 "," 22,481 "," 21,165 "," 15,737 "," 13,984 "," 14,174 "," 10,687 "," 5,959 "," 2,076 ", 421 , 48 
, 計 ," 519,839 "," 2,921 "," 12,649 "," 3,028 "," 2,959 "," 3,607 "," 3,055 "," 16,496 "," 23,670 "," 32,834 "," 35,201 "," 33,756 "," 37,554 "," 38,999 "," 36,148 "," 40,742 "," 43,770 "," 40,250 "," 35,006 "," 23,850 "," 19,939 "," 19,923 "," 14,821 "," 8,155 "," 2,587 ", 505 , 63 
 嘉 義 縣 , 男 ," 270,681 "," 1,540 "," 6,597 "," 1,586 "," 1,558 "," 1,881 "," 1,572 "," 8,688 "," 12,357 "," 17,232 "," 18,208 "," 17,879 "," 19,953 "," 20,382 "," 19,117 "," 22,544 "," 24,607 "," 22,216 "," 18,608 "," 11,935 "," 9,368 "," 8,915 "," 6,219 "," 3,216 ", 918 , 159 , 23 
, 女 ," 249,158 "," 1,381 "," 6,052 "," 1,442 "," 1,401 "," 1,726 "," 1,483 "," 7,808 "," 11,313 "," 15,602 "," 16,993 "," 15,877 "," 17,601 "," 18,617 "," 17,031 "," 18,198 "," 19,163 "," 18,034 "," 16,398 "," 11,915 "," 10,571 "," 11,008 "," 8,602 "," 4,939 "," 1,669 ", 346 , 40 
, 計 ," 841,253 "," 5,074 "," 22,459 "," 5,505 "," 5,092 "," 6,467 "," 5,395 "," 29,696 "," 39,850 "," 54,338 "," 60,089 "," 56,946 "," 63,137 "," 67,199 "," 60,181 "," 66,726 "," 69,914 "," 65,629 "," 58,119 "," 38,177 "," 28,637 "," 25,340 "," 17,107 "," 9,221 "," 2,807 ", 534 , 73 
 屏 東 縣 , 男 ," 430,925 "," 2,634 "," 11,732 "," 2,850 "," 2,650 "," 3,439 "," 2,793 "," 15,586 "," 20,652 "," 28,565 "," 31,258 "," 29,803 "," 32,911 "," 35,061 "," 31,040 "," 35,223 "," 36,388 "," 33,362 "," 29,144 "," 18,693 "," 13,728 "," 11,809 "," 7,615 "," 4,251 "," 1,228 ", 201 , 41 
