 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國108年底 ,,,,,,,,,,,,,, 中華民國108年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
 彰 化 縣 , 男 ," 647,449 "," 5,792 "," 22,626 "," 5,573 "," 5,683 "," 5,720 "," 5,650 "," 27,192 "," 29,478 "," 38,624 "," 45,124 "," 47,596 "," 47,029 "," 53,655 "," 52,057 "," 44,989 "," 47,119 "," 48,909 "," 43,646 "," 34,903 "," 20,425 "," 16,850 "," 12,244 "," 6,577 "," 2,168 ", 413 , 33 
, 女 ," 625,353 "," 5,316 "," 21,007 "," 5,316 "," 5,201 "," 5,317 "," 5,173 "," 25,097 "," 26,513 "," 34,725 "," 41,530 "," 43,637 "," 43,526 "," 51,429 "," 49,142 "," 42,284 "," 43,577 "," 46,090 "," 41,877 "," 35,285 "," 22,238 "," 19,525 "," 16,617 "," 10,556 "," 4,302 ", 976 , 104 
, 計 ," 494,112 "," 2,980 "," 12,755 "," 3,107 "," 3,113 "," 3,287 "," 3,248 "," 17,612 "," 19,766 "," 27,094 "," 33,440 "," 35,225 "," 31,842 "," 36,312 "," 36,075 "," 34,519 "," 39,204 "," 41,593 "," 37,442 "," 30,266 "," 18,492 "," 15,909 "," 12,502 "," 7,446 "," 2,959 ", 601 , 78 
 南 投 縣 , 男 ," 252,705 "," 1,529 "," 6,621 "," 1,647 "," 1,597 "," 1,729 "," 1,648 "," 9,191 "," 10,252 "," 14,097 "," 17,273 "," 18,724 "," 17,266 "," 19,107 "," 18,637 "," 17,524 "," 20,430 "," 21,422 "," 19,162 "," 15,328 "," 8,901 "," 7,287 "," 5,476 "," 3,075 "," 1,177 ", 201 , 25 
, 女 ," 241,407 "," 1,451 "," 6,134 "," 1,460 "," 1,516 "," 1,558 "," 1,600 "," 8,421 "," 9,514 "," 12,997 "," 16,167 "," 16,501 "," 14,576 "," 17,205 "," 17,438 "," 16,995 "," 18,774 "," 20,171 "," 18,280 "," 14,938 "," 9,591 "," 8,622 "," 7,026 "," 4,371 "," 1,782 ", 400 , 53 
, 計 ," 681,306 "," 4,062 "," 18,453 "," 4,280 "," 4,624 "," 4,710 "," 4,839 "," 25,054 "," 29,213 "," 38,631 "," 45,065 "," 43,350 "," 42,587 "," 52,351 "," 54,961 "," 49,301 "," 52,513 "," 52,750 "," 46,856 "," 39,215 "," 26,750 "," 24,413 "," 19,327 "," 11,290 "," 4,232 ", 835 , 97 
 雲 林 縣 , 男 ," 352,821 "," 2,148 "," 9,491 "," 2,248 "," 2,347 "," 2,395 "," 2,501 "," 13,013 "," 15,299 "," 20,341 "," 23,736 "," 23,048 "," 22,567 "," 26,999 "," 28,454 "," 26,284 "," 29,370 "," 29,294 "," 25,020 "," 20,133 "," 12,882 "," 10,942 "," 8,021 "," 4,172 "," 1,366 ", 223 , 18 
, 女 ," 328,485 "," 1,914 "," 8,962 "," 2,032 "," 2,277 "," 2,315 "," 2,338 "," 12,041 "," 13,914 "," 18,290 "," 21,329 "," 20,302 "," 20,020 "," 25,352 "," 26,507 "," 23,017 "," 23,143 "," 23,456 "," 21,836 "," 19,082 "," 13,868 "," 13,471 "," 11,306 "," 7,118 "," 2,866 ", 612 , 79 
, 計 ," 503,113 "," 2,772 "," 11,040 "," 2,559 "," 2,793 "," 2,757 "," 2,931 "," 14,770 "," 17,887 "," 27,500 "," 33,470 "," 33,993 "," 30,758 "," 36,369 "," 37,037 "," 36,853 "," 40,905 "," 43,076 "," 37,679 "," 31,357 "," 19,815 "," 18,541 "," 15,279 "," 9,608 "," 3,587 ", 732 , 85 
 嘉 義 縣 , 男 ," 261,238 "," 1,442 "," 5,700 "," 1,289 "," 1,422 "," 1,453 "," 1,536 "," 7,680 "," 9,427 "," 14,477 "," 17,538 "," 17,971 "," 16,748 "," 19,131 "," 19,141 "," 19,466 "," 22,508 "," 23,901 "," 20,384 "," 16,213 "," 9,508 "," 8,295 "," 6,507 "," 3,672 "," 1,263 ", 237 , 29 
, 女 ," 241,875 "," 1,330 "," 5,340 "," 1,270 "," 1,371 "," 1,304 "," 1,395 "," 7,090 "," 8,460 "," 13,023 "," 15,932 "," 16,022 "," 14,010 "," 17,238 "," 17,896 "," 17,387 "," 18,397 "," 19,175 "," 17,295 "," 15,144 "," 10,307 "," 10,246 "," 8,772 "," 5,936 "," 2,324 ", 495 , 56 
, 計 ," 819,184 "," 4,581 "," 21,338 "," 4,809 "," 5,245 "," 5,525 "," 5,759 "," 28,612 "," 31,618 "," 43,211 "," 55,895 "," 57,512 "," 52,784 "," 61,756 "," 64,240 "," 60,392 "," 65,971 "," 68,276 "," 61,878 "," 51,177 "," 30,613 "," 25,642 "," 18,738 "," 10,310 "," 3,869 ", 671 , 100 
 屏 東 縣 , 男 ," 417,815 "," 2,357 "," 11,081 "," 2,439 "," 2,777 "," 2,869 "," 2,996 "," 14,936 "," 16,512 "," 22,492 "," 29,371 "," 30,238 "," 28,082 "," 32,161 "," 33,244 "," 30,843 "," 34,454 "," 35,105 "," 30,806 "," 25,191 "," 14,486 "," 11,832 "," 8,265 "," 4,362 "," 1,675 ", 276 , 46 
, 女 ," 401,369 "," 2,224 "," 10,257 "," 2,370 "," 2,468 "," 2,656 "," 2,763 "," 13,676 "," 15,106 "," 20,719 "," 26,524 "," 27,274 "," 24,702 "," 29,595 "," 30,996 "," 29,549 "," 31,517 "," 33,171 "," 31,072 "," 25,986 "," 16,127 "," 13,810 "," 10,473 "," 5,948 "," 2,194 ", 395 , 54 
, 計 ," 216,781 "," 1,383 "," 6,238 "," 1,524 "," 1,523 "," 1,575 "," 1,616 "," 8,297 "," 9,209 "," 11,887 "," 14,643 "," 14,731 "," 13,175 "," 15,887 "," 16,436 "," 17,113 "," 17,826 "," 17,816 "," 15,904 "," 12,706 "," 8,022 "," 6,476 "," 4,726 "," 2,716 "," 1,241 ", 309 , 40 
 臺 東 縣 , 男 ," 111,570 ", 739 ," 3,234 ", 799 , 806 , 846 , 783 ," 4,355 "," 4,886 "," 6,209 "," 7,558 "," 7,806 "," 7,105 "," 8,392 "," 8,596 "," 9,062 "," 9,704 "," 9,428 "," 8,076 "," 6,019 "," 3,661 "," 2,850 "," 1,967 "," 1,138 ", 611 , 153 , 21 
, 女 ," 105,211 ", 644 ," 3,004 ", 725 , 717 , 729 , 833 ," 3,942 "," 4,323 "," 5,678 "," 7,085 "," 6,925 "," 6,070 "," 7,495 "," 7,840 "," 8,051 "," 8,122 "," 8,388 "," 7,828 "," 6,687 "," 4,361 "," 3,626 "," 2,759 "," 1,578 ", 630 , 156 , 19 
, 計 ," 326,247 "," 2,273 "," 10,187 "," 2,374 "," 2,394 "," 2,691 "," 2,728 "," 12,888 "," 13,368 "," 17,494 "," 21,983 "," 22,888 "," 20,279 "," 24,408 "," 25,028 "," 24,764 "," 25,696 "," 26,147 "," 24,578 "," 19,859 "," 11,900 "," 9,559 "," 6,625 "," 4,011 "," 1,803 ", 441 , 68 
 花 蓮 縣 , 男 ," 165,073 "," 1,198 "," 5,292 "," 1,246 "," 1,247 "," 1,376 "," 1,423 "," 6,791 "," 6,983 "," 9,154 "," 11,443 "," 11,956 "," 10,709 "," 12,629 "," 12,749 "," 12,412 "," 13,468 "," 13,187 "," 12,123 "," 9,747 "," 5,456 "," 4,176 "," 2,758 "," 1,714 ", 879 , 212 , 37 
, 女 ," 161,174 "," 1,075 "," 4,895 "," 1,128 "," 1,147 "," 1,315 "," 1,305 "," 6,097 "," 6,385 "," 8,340 "," 10,540 "," 10,932 "," 9,570 "," 11,779 "," 12,279 "," 12,352 "," 12,228 "," 12,960 "," 12,455 "," 10,112 "," 6,444 "," 5,383 "," 3,867 "," 2,297 ", 924 , 229 , 31 
, 計 ," 105,207 ", 907 ," 3,400 ", 833 , 940 , 881 , 746 ," 3,191 "," 3,395 "," 5,917 "," 8,285 "," 7,996 "," 7,409 "," 8,442 "," 8,145 "," 7,696 "," 8,000 "," 8,000 "," 7,061 "," 5,820 "," 3,658 "," 2,802 "," 2,480 "," 1,709 ", 682 , 194 , 18 
 澎 湖 縣 , 男 ," 54,283 ", 466 ," 1,823 ", 445 , 509 , 461 , 408 ," 1,684 "," 1,735 "," 3,199 "," 4,514 "," 4,381 "," 3,807 "," 4,275 "," 4,083 "," 3,990 "," 4,262 "," 4,260 "," 3,759 "," 2,856 "," 1,742 "," 1,303 "," 1,086 ", 708 , 261 , 81 , 8 
, 女 ," 50,924 ", 441 ," 1,577 ", 388 , 431 , 420 , 338 ," 1,507 "," 1,660 "," 2,718 "," 3,771 "," 3,615 "," 3,602 "," 4,167 "," 4,062 "," 3,706 "," 3,738 "," 3,740 "," 3,302 "," 2,964 "," 1,916 "," 1,499 "," 1,394 "," 1,001 ", 421 , 113 , 10 
, 計 ," 368,893 "," 1,931 "," 9,403 "," 2,121 "," 2,153 "," 2,530 "," 2,599 "," 12,779 "," 14,058 "," 18,621 "," 24,554 "," 26,358 "," 23,218 "," 26,771 "," 28,464 "," 28,627 "," 31,017 "," 32,239 "," 29,842 "," 24,304 "," 12,917 "," 10,294 "," 7,152 "," 3,961 "," 1,857 ", 428 , 98 
 基 隆 市 , 男 ," 184,139 "," 1,012 "," 4,849 "," 1,109 "," 1,098 "," 1,271 "," 1,371 "," 6,585 "," 7,320 "," 9,784 "," 12,794 "," 13,882 "," 12,151 "," 13,731 "," 14,121 "," 14,240 "," 15,508 "," 16,048 "," 14,556 "," 11,514 "," 6,001 "," 4,560 "," 2,791 "," 1,600 ", 839 , 200 , 53 
, 女 ," 184,754 ", 919 ," 4,554 "," 1,012 "," 1,055 "," 1,259 "," 1,228 "," 6,194 "," 6,738 "," 8,837 "," 11,760 "," 12,476 "," 11,067 "," 13,040 "," 14,343 "," 14,387 "," 15,509 "," 16,191 "," 15,286 "," 12,790 "," 6,916 "," 5,734 "," 4,361 "," 2,361 "," 1,018 ", 228 , 45 
, 計 ," 448,803 "," 3,847 "," 19,979 "," 4,277 "," 4,758 "," 5,238 "," 5,706 "," 27,605 "," 25,282 "," 26,171 "," 27,294 "," 27,815 "," 29,069 "," 40,915 "," 42,080 "," 34,948 "," 32,326 "," 29,585 "," 25,621 "," 21,324 "," 12,465 "," 9,550 "," 6,479 "," 3,869 "," 2,012 ", 493 , 74 
 新 竹 市 , 男 ," 221,265 "," 1,997 "," 10,254 "," 2,168 "," 2,453 "," 2,651 "," 2,982 "," 14,336 "," 13,253 "," 13,633 "," 14,155 "," 14,336 "," 14,481 "," 19,587 "," 20,343 "," 17,216 "," 15,935 "," 14,571 "," 12,160 "," 9,946 "," 5,645 "," 3,995 "," 2,557 "," 1,639 ", 956 , 234 , 36 
, 女 ," 227,538 "," 1,850 "," 9,725 "," 2,109 "," 2,305 "," 2,587 "," 2,724 "," 13,269 "," 12,029 "," 12,538 "," 13,139 "," 13,479 "," 14,588 "," 21,328 "," 21,737 "," 17,732 "," 16,391 "," 15,014 "," 13,461 "," 11,378 "," 6,820 "," 5,555 "," 3,922 "," 2,230 "," 1,056 ", 259 , 38 
, 計 ," 267,690 "," 1,629 "," 8,730 "," 1,904 "," 2,032 "," 2,384 "," 2,410 "," 12,388 "," 13,221 "," 16,273 "," 18,780 "," 18,068 "," 16,646 "," 20,456 "," 21,455 "," 19,844 "," 20,754 "," 20,191 "," 17,798 "," 14,951 "," 9,239 "," 7,236 "," 5,344 "," 3,052 "," 1,306 ", 283 , 46 
 嘉 義 市 , 男 ," 129,794 ", 838 ," 4,527 "," 1,032 "," 1,098 "," 1,196 "," 1,201 "," 6,481 "," 6,907 "," 8,550 "," 9,625 "," 9,381 "," 8,299 "," 9,811 "," 9,973 "," 9,102 "," 9,837 "," 9,717 "," 8,474 "," 6,958 "," 4,153 "," 3,083 "," 2,156 "," 1,211 ", 564 , 127 , 20 
